id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
74,3,1237.104639398048,0,1,633,11.68,3.084,0.513,0.006,0.594,0.25,0.156
74,4,1356.4126567918045,0,1,626,11.603,3.056,0.521,0.009,0.586,0.26,0.153
75,1,906.3065505617569,1,0,603,11.566,3.07,0.527,0.006,0.614,0.234,0.153
75,2,1149.2917554583373,1,0,557,11.519,3.097,0.519,0.023,0.614,0.232,0.154
75,3,1244.7015484612955,1,1,571,11.36,3.149,0.517,-0.012,0.609,0.229,0.161
75,4,1424.8259353545402,1,1,576,11.348,3.165,0.531,-0.017,0.594,0.245,0.161
76,1,1067.1409837548229,0,0,250,11.101,3.16,0.576,0.215,0.704,0.136,0.16
76,2,1099.7153342440806,0,0,246,11.079,3.134,0.577,0.212,0.707,0.134,0.159
76,3,1345.0881688369984,0,1,245,11.286,3.057,0.555,0.168,0.702,0.139,0.159
76,4,1299.7048084014727,0,1,254,11.488,3.051,0.531,0.021,0.701,0.142,0.157
77,1,1089.6057986962537,0,0,146,10.46,3.096,0.616,0.589,0.74,0.164,0.096
77,2,975.3955344153305,0,0,143,10.991,3.175,0.594,0.531,0.755,0.154,0.091
77,3,1073.873668017258,0,1,134,10.959,3.142,0.567,0.453,0.784,0.142,0.075
77,4,1236.3389708255675,0,1,239,11.499,3.075,0.536,-0.088,0.787,0.142,0.071
78,1,959.1220184235099,1,0,677,11.125,2.996,0.623,0.345,0.713,0.179,0.108
78,2,1326.5479629088898,1,0,665,11.059,2.944,0.612,0.313,0.708,0.182,0.11
78,3,1219.0834628393275,1,1,643,11.095,2.953,0.602,0.256,0.715,0.174,0.11
78,4,1285.618614707376,1,1,624,11.269,2.963,0.588,0.204,0.705,0.178,0.117
79,1,690.3498970580011,0,0,464,12.537,3.095,0.405,-0.621,0.571,0.347,0.082
79,2,802.6692613264765,0,0,451,12.293,3.146,0.428,-0.536,0.583,0.339,0.078
79,3,875.9802595439821,0,1,451,12.4,3.111,0.457,-0.479,0.603,0.319,0.078
79,4,978.663893789265,0,1,535,12.09,3.056,0.464,-0.334,0.607,0.316,0.077
80,1,969.308827595166,1,0,287,11.328,3.087,0.575,0.248,0.728,0.143,0.129
80,2,1268.1829490466102,1,0,315,11.432,3.016,0.556,0.162,0.743,0.137,0.121
80,3,1146.6523552095716,1,1,315,11.529,3.013,0.556,0.16,0.74,0.13,0.13
80,4,1290.501336842131,1,1,311,11.34,3.026,0.553,0.12,0.733,0.135,0.132
81,1,594.1909471169652,1,0,261,11.813,3.157,0.487,-0.196,0.697,0.172,0.13
81,2,947.0648631686346,1,0,273,11.607,3.143,0.491,-0.183,0.689,0.161,0.15
81,3,1153.3566344526912,1,1,259,11.746,3.097,0.475,-0.193,0.687,0.162,0.151
81,4,1035.0548618749795,1,1,251,11.675,3.12,0.498,-0.217,0.681,0.159,0.159
82,1,690.291804017243,0,0,464,12.213,3.168,0.47,-0.302,0.886,0.086,0.028
82,2,905.6028320175461,0,0,452,12.295,3.077,0.46,-0.298,0.885,0.091,0.024
82,3,1115.0041413462493,0,1,449,12.16,3.053,0.472,-0.298,0.884,0.091,0.024
82,4,1033.0184871374986,0,1,429,12.335,3.049,0.466,-0.361,0.881,0.096,0.023
83,1,883.6830905800105,1,0,1803,11.39,3.084,0.552,0.177,0.66,0.245,0.095
83,2,1091.2878009958447,1,0,1746,11.384,3.055,0.546,0.171,0.655,0.249,0.097
83,3,1216.3600852091938,1,1,1732,11.374,3.053,0.555,0.163,0.657,0.243,0.1
83,4,1371.1971545147692,1,1,1682,11.468,3.057,0.551,0.097,0.658,0.244,0.098
84,1,954.7574097827847,0,0,266,11.502,2.808,0.519,0.078,0.82,0.15,0.03
84,2,916.4025710175449,0,0,265,11.47,2.891,0.517,0.018,0.815,0.162,0.023
84,3,1153.4092180968157,0,1,260,11.357,2.969,0.538,0.011,0.819,0.158,0.023
84,4,1145.2984391693028,0,1,265,11.726,3,0.543,-0.047,0.83,0.151,0.019
85,1,883.5288207968548,1,0,1097,12.308,2.917,0.474,-0.409,0.718,0.178,0.104
85,2,863.390184564019,1,0,1093,12.304,2.891,0.471,-0.403,0.726,0.168,0.105
85,3,980.2042280683984,1,1,1110,12.219,2.864,0.472,-0.367,0.723,0.174,0.103
85,4,1112.7871871844875,1,1,1064,12.17,2.854,0.481,-0.354,0.726,0.172,0.102
86,1,801.5824125990431,0,0,314,11.399,2.882,0.519,-0.009,0.659,0.242,0.099
86,2,877.8365076596519,0,0,323,11.709,2.892,0.489,-0.082,0.663,0.241,0.096
86,3,907.4293901764631,0,1,327,11.6,2.979,0.483,-0.103,0.654,0.239,0.107
86,4,1102.6565314900954,0,1,344,11.659,2.956,0.485,-0.205,0.625,0.262,0.113
87,1,1138.666669491517,1,0,212,11.365,3.009,0.481,0.029,0.66,0.236,0.104
87,2,1618.5591511706275,1,0,190,11.162,3.047,0.495,0.089,0.668,0.232,0.1
87,3,1228.4992965218062,1,1,190,11.293,3.032,0.479,0.05,0.653,0.253,0.095
87,4,1089.7808483236438,1,1,231,11.691,3.004,0.468,-0.157,0.619,0.281,0.1
88,1,791.907986013619,1,0,617,11.662,3.079,0.509,-0.113,0.605,0.199,0.196
88,2,996.0529574375134,1,0,618,11.877,3.097,0.51,-0.136,0.602,0.196,0.202
88,3,1046.818941917621,1,1,640,11.891,3.072,0.5,-0.146,0.583,0.212,0.205
88,4,1236.3159955075007,1,1,636,11.983,3.061,0.491,-0.188,0.579,0.206,0.215
89,1,894.8050675610152,1,0,1373,11.494,3.025,0.537,0.071,0.814,0.119,0.067
89,2,1038.323993023049,1,0,1286,11.444,3.038,0.533,0.07,0.81,0.125,0.065
89,3,1151.994480606281,1,1,1309,11.384,3.063,0.523,0.033,0.809,0.122,0.069
89,4,1312.3092580427215,1,1,1276,11.347,3.083,0.52,-0.004,0.813,0.122,0.065
90,1,1017.4212754701588,1,0,130,12.176,2.985,0.515,0.058,0.708,0.162,0.131
90,2,1551.696834503083,1,0,125,12.059,2.96,0.512,0.079,0.704,0.168,0.128
90,3,793.9556073587213,1,1,189,12.467,2.899,0.492,-0.104,0.714,0.18,0.106
90,4,1037.0002773393155,1,1,214,12.538,2.846,0.495,-0.169,0.72,0.187,0.093
91,1,930.1943988037472,1,0,497,11.239,2.984,0.581,0.332,0.702,0.215,0.082
91,2,1230.049025736694,1,0,500,11.294,3.024,0.574,0.294,0.698,0.212,0.09
91,3,1595.9677246189372,1,1,493,11.316,3.063,0.57,0.241,0.69,0.209,0.101
91,4,1279.6585829875853,1,1,519,11.519,3.075,0.534,-0.095,0.69,0.202,0.108
92,1,1015.1906764941065,1,0,736,11.308,2.936,0.538,0.076,0.721,0.205,0.073
92,2,1128.213775473598,1,0,803,11.567,2.905,0.523,-0.008,0.727,0.197,0.076
92,3,1195.325958178992,1,1,782,11.533,2.896,0.528,0,0.729,0.196,0.075
92,4,1312.994314535766,1,1,826,11.556,2.906,0.525,-0.036,0.731,0.189,0.08
93,1,843.6313234356352,0,0,983,11.048,3.004,0.547,0.2,0.827,0.122,0.051
93,2,1052.067710298212,0,0,1012,11.159,2.994,0.53,0.116,0.833,0.117,0.05
93,3,1238.4449162829687,0,1,1103,11.257,2.965,0.509,0.005,0.836,0.119,0.045
93,4,1333.0030909119325,0,1,1309,11.286,3.005,0.519,-0.009,0.836,0.118,0.046
94,1,852.6813739978495,0,0,495,11.159,3.087,0.519,0.075,0.699,0.145,0.156
94,2,1194.7879450288665,0,0,484,11.139,3.066,0.523,0.126,0.721,0.134,0.145
94,3,1193.0397563983045,0,1,502,11.298,3.05,0.5,0.011,0.733,0.114,0.153
94,4,1353.6292262844,0,1,481,11.19,3.056,0.493,-0.015,0.742,0.112,0.146
95,1,867.2019160328991,1,0,2720,10.816,3.036,0.611,0.388,0.912,0.059,0.028
95,2,1146.26357418146,1,0,2813,10.994,3.02,0.594,0.264,0.913,0.057,0.031
95,3,1256.0466037686274,1,1,2578,11.051,2.998,0.594,0.265,0.911,0.058,0.031
95,4,1568.077186681254,1,1,2444,11.047,2.983,0.591,0.239,0.91,0.06,0.03
96,1,1038.9261201086629,1,0,618,10.872,3.036,0.605,0.344,0.775,0.105,0.12
96,2,1104.6666289885836,1,0,630,10.854,3.03,0.611,0.332,0.776,0.11,0.114
96,3,1330.1243309346974,1,1,670,10.915,3.055,0.603,0.257,0.787,0.112,0.101
96,4,1489.1461717459283,1,1,658,10.907,3.053,0.591,0.193,0.787,0.112,0.1
97,1,784.1996800134581,0,0,1804,11.791,2.988,0.488,-0.223,0.573,0.341,0.086
97,2,909.243073004013,0,0,1790,11.753,3.026,0.485,-0.222,0.569,0.346,0.084
97,3,969.8438428564563,0,1,1788,11.692,3,0.497,-0.193,0.565,0.348,0.087
97,4,1112.0222249791277,0,1,1818,11.594,2.996,0.493,-0.22,0.565,0.347,0.087
98,1,1007.8670266372156,1,0,243,11.01,2.963,0.514,0.202,0.835,0.144,0.021
98,2,1322.6730815360509,1,0,243,11.063,2.996,0.494,0.158,0.844,0.136,0.021
98,3,1366.086266377,1,1,276,11.33,2.938,0.482,0.059,0.859,0.12,0.022
98,4,1439.2884350338754,1,1,262,11.378,2.954,0.489,0.042,0.851,0.126,0.023
99,1,883.0287095707087,1,0,1013,11.443,3.021,0.553,0.066,0.732,0.157,0.111
99,2,1134.327344888548,1,0,999,11.461,3.008,0.543,0.056,0.734,0.156,0.11
99,3,1317.175283293753,1,1,973,11.506,2.992,0.54,0.051,0.73,0.158,0.112
99,4,1300.3362649558837,1,1,996,11.691,2.978,0.527,-0.06,0.728,0.162,0.11
100,1,835.5863218300703,0,0,1057,11.418,2.974,0.555,0.217,0.687,0.157,0.156
100,2,1070.9519602405014,0,0,1035,11.379,2.945,0.558,0.219,0.69,0.148,0.162
100,3,1250.9383701787144,0,1,1073,11.448,2.966,0.562,0.185,0.692,0.15,0.158
100,4,1267.3837766156432,0,1,1067,11.554,3.028,0.554,0.081,0.681,0.148,0.171
101,1,994.3629801340323,0,0,216,11.915,3.162,0.523,-0.116,0.644,0.222,0.134
101,2,754.0076656468207,0,0,202,12.105,3.158,0.515,-0.167,0.644,0.223,0.134
101,3,1260.5067254578562,0,1,204,12.089,3.093,0.51,-0.154,0.642,0.211,0.147
101,4,1107.0818617932343,0,1,207,12.085,3.092,0.517,-0.165,0.652,0.213,0.135
102,1,725.8659676472531,0,0,207,11.625,3.043,0.585,-0.02,0.56,0.295,0.145
102,2,1307.9674328825581,0,0,202,11.63,3.04,0.559,-0.021,0.545,0.302,0.153
102,3,1335.7407479475169,0,1,205,11.867,3.049,0.566,-0.127,0.532,0.322,0.146
102,4,1309.9235245210843,0,1,214,11.79,3.051,0.537,-0.169,0.556,0.28,0.164
103,1,1106.1386932904375,0,0,249,11.284,2.912,0.614,0.191,0.727,0.209,0.064
103,2,1085.9668714269171,0,0,230,11.505,2.948,0.622,0.18,0.713,0.217,0.07
103,3,1663.7585038389977,0,1,238,11.217,2.992,0.613,0.172,0.689,0.227,0.084
103,4,1591.9609260286456,0,1,233,11.073,2.918,0.609,0.147,0.652,0.262,0.086
104,1,789.7722111013638,0,0,129,12.176,2.876,0.488,-0.05,0.512,0.318,0.171
104,2,870.474561086401,0,0,131,12.02,2.863,0.489,-0.058,0.496,0.336,0.168
104,3,762.5742591321873,0,1,162,11.806,2.932,0.488,-0.095,0.525,0.321,0.154
104,4,953.8585422836496,0,1,156,11.271,2.929,0.494,-0.059,0.538,0.314,0.147
105,1,821.5435763641757,0,0,280,11.671,2.968,0.557,0.018,0.689,0.218,0.093
105,2,1061.0920824375457,0,0,343,11.9,3.076,0.545,-0.181,0.659,0.239,0.102
105,3,1017.7922028315635,0,1,351,11.883,3.063,0.553,-0.196,0.647,0.245,0.108
105,4,1177.6433375186716,0,1,349,11.851,3.092,0.536,-0.268,0.639,0.244,0.117
106,1,1551.9190530262604,1,0,244,11.49,2.918,0.611,0.35,0.672,0.139,0.189
106,2,1176.739482707356,1,0,238,11.421,2.924,0.626,0.32,0.689,0.118,0.193
106,3,1790.2461224239798,1,1,228,11.403,2.996,0.614,0.271,0.693,0.127,0.18
106,4,1340.1014073734991,1,1,223,11.137,3.076,0.619,0.246,0.673,0.157,0.17
107,1,874.1823780211944,0,0,1250,10.92,3.014,0.61,0.388,0.716,0.179,0.105
107,2,1140.4352485539994,0,0,1246,10.857,3.012,0.607,0.393,0.726,0.173,0.102
107,3,1421.9970767168481,0,1,1189,10.931,3.041,0.599,0.367,0.723,0.177,0.099
107,4,1487.8295899725492,0,1,1153,11.016,3.036,0.605,0.332,0.727,0.173,0.101
108,1,932.797400954827,0,0,575,11.729,2.845,0.548,0.267,0.562,0.252,0.186
108,2,1171.0945474883715,0,0,564,11.838,2.876,0.534,0.193,0.56,0.252,0.188
108,3,1382.179687070717,0,1,553,11.807,2.879,0.523,0.176,0.566,0.239,0.195
108,4,1450.0656298054448,0,1,620,11.544,2.908,0.527,0.103,0.561,0.247,0.192
109,1,1029.1504183663196,1,0,153,10.663,2.869,0.621,0.357,0.425,0.359,0.216
109,2,1350.0863263455667,1,0,169,10.701,2.793,0.627,0.308,0.45,0.349,0.201
109,3,1129.8090250096932,1,1,166,10.948,2.825,0.614,0.227,0.44,0.355,0.205
109,4,1639.326438021676,1,1,181,11.147,2.818,0.635,0.149,0.409,0.365,0.227
110,1,873.2932391976796,1,0,454,11.331,3.035,0.555,0.172,0.815,0.128,0.057
110,2,1027.3474957601509,1,0,455,11.27,3.048,0.532,0.158,0.82,0.123,0.057
110,3,1330.155677901332,1,1,447,11.361,3.027,0.517,0.137,0.823,0.123,0.054
110,4,1307.3265947714685,1,1,433,11.633,2.963,0.503,0.022,0.818,0.127,0.055
111,1,727.7984538192763,0,0,1057,11.537,3.035,0.523,-0.096,0.651,0.117,0.232
111,2,763.4611096016582,0,0,1046,11.518,3.025,0.519,-0.073,0.656,0.115,0.229
111,3,913.0978376096801,0,1,1113,11.503,3.034,0.507,-0.116,0.65,0.117,0.234
111,4,1083.0216802661191,0,1,1072,11.516,3.035,0.507,-0.133,0.646,0.116,0.238
112,1,1030.932156015428,0,0,796,11.071,2.948,0.557,0.269,0.843,0.119,0.038
112,2,1098.8168210336792,0,0,778,11.146,2.92,0.557,0.216,0.842,0.121,0.037
112,3,1172.4679403394932,0,1,795,11.334,2.887,0.536,0.096,0.831,0.128,0.04
112,4,1371.1548344317223,0,1,788,11.428,2.876,0.532,0.032,0.834,0.126,0.041
113,1,564.2145878278295,1,0,495,12.346,3.089,0.41,-0.63,0.784,0.172,0.044
113,2,681.5697966498363,1,0,562,12.122,3.05,0.436,-0.504,0.792,0.162,0.046
113,3,827.9837150014117,1,1,553,12.109,3.034,0.434,-0.487,0.794,0.165,0.042
113,4,1030.6550434280382,1,1,564,12.225,3.034,0.408,-0.555,0.801,0.161,0.037
114,1,738.9525729415365,0,0,920,11.576,3.108,0.482,-0.123,0.664,0.251,0.085
114,2,1029.0889855763187,0,0,933,11.593,3.11,0.486,-0.098,0.656,0.258,0.086
114,3,1079.046622130018,0,1,870,11.601,3.171,0.471,-0.138,0.651,0.272,0.077
114,4,1284.810183622628,0,1,857,11.637,3.132,0.467,-0.197,0.649,0.273,0.078
115,1,1025.2565634098225,1,0,497,11.635,3.014,0.533,0.021,0.881,0.103,0.016
115,2,899.6873761870992,1,0,516,11.648,3.031,0.519,-0.003,0.88,0.103,0.017
115,3,1008.5532410049397,1,1,613,11.645,3.06,0.498,-0.188,0.891,0.09,0.02
115,4,1170.3878165708988,1,1,616,11.684,3.096,0.503,-0.243,0.88,0.099,0.021
116,1,937.5269697933024,0,0,293,11.066,3.007,0.642,0.461,0.652,0.188,0.16
116,2,1596.8617002476683,0,0,274,10.993,2.978,0.642,0.417,0.664,0.175,0.161
116,3,1433.846995670756,0,1,278,11.161,2.964,0.662,0.383,0.662,0.165,0.173
116,4,1469.5604410817477,0,1,253,11.098,2.968,0.632,0.352,0.664,0.166,0.17
117,1,755.272130377847,1,0,146,11.92,2.89,0.479,-0.079,0.808,0.151,0.041
117,2,1228.1748445544906,1,0,137,11.939,2.883,0.489,0.017,0.825,0.139,0.036
117,3,1264.9185409340646,1,1,126,12.027,2.913,0.508,0.009,0.81,0.143,0.048
117,4,1230.3020785958595,1,1,125,12.012,2.808,0.52,-0.047,0.8,0.16,0.04
118,1,748.9594280753417,0,0,733,11.796,3.016,0.557,0.043,0.619,0.256,0.124
118,2,1070.6415772424507,0,0,817,11.794,2.962,0.537,-0.08,0.622,0.25,0.129
118,3,1164.9935850480713,0,1,810,11.682,2.972,0.543,-0.053,0.628,0.246,0.126
118,4,1236.3503957992348,0,1,762,11.796,2.979,0.546,-0.038,0.625,0.244,0.131
119,1,717.6631294562997,1,0,260,11.306,3.135,0.45,-0.019,0.723,0.2,0.077
119,2,1317.086655306708,1,0,258,11.308,3.093,0.453,0.003,0.725,0.202,0.074
119,3,1142.2053932907234,1,1,272,11.407,3.018,0.452,-0.109,0.702,0.213,0.085
119,4,1270.179209161204,1,1,261,11.514,3.031,0.448,-0.146,0.72,0.192,0.088
120,1,841.1672658056345,1,0,129,11.643,2.752,0.504,0,0.907,0.085,0.008
120,2,911.2233441798967,1,0,148,11.426,2.818,0.459,-0.068,0.912,0.081,0.007
120,3,885.1392516129889,1,1,130,11.47,2.708,0.438,-0.042,0.915,0.085,0
120,4,1229.7347407249542,1,1,126,11.429,2.603,0.389,-0.089,0.921,0.071,0.008
121,1,656.2601752819888,0,0,918,11.546,2.876,0.489,-0.104,0.663,0.235,0.101
121,2,920.3293047090224,0,0,891,11.466,2.927,0.508,-0.064,0.671,0.231,0.098
121,3,1196.227874666747,0,1,908,11.546,2.959,0.51,-0.104,0.682,0.225,0.094
121,4,1180.4073733912373,0,1,861,11.535,2.926,0.504,-0.107,0.685,0.225,0.089
122,1,753.7289640041146,1,0,798,11.832,3.043,0.504,-0.126,0.615,0.305,0.08
122,2,901.5500088854233,1,0,792,11.84,3.066,0.504,-0.138,0.602,0.314,0.083
122,3,1024.8123899729796,1,1,730,11.966,3.051,0.501,-0.145,0.595,0.318,0.088
122,4,1160.4909357658844,1,1,772,12,3.001,0.499,-0.204,0.601,0.323,0.076
123,1,788.4883710767538,0,0,3724,11.793,2.997,0.488,-0.2,0.69,0.162,0.148
123,2,915.5253816066171,0,0,3505,11.718,2.995,0.489,-0.18,0.692,0.16,0.148
123,3,995.7852037573136,0,1,3210,11.689,2.983,0.491,-0.162,0.693,0.159,0.149
123,4,1101.3639357252382,0,1,3138,11.632,2.973,0.496,-0.154,0.689,0.165,0.146
124,1,855.9712199556484,0,0,842,11.06,3.039,0.61,0.317,0.704,0.139,0.157
124,2,1039.211343674874,0,0,819,11.061,3.053,0.603,0.296,0.696,0.143,0.161
124,3,1261.7944102237548,0,1,819,11.192,3.066,0.591,0.268,0.689,0.144,0.167
124,4,1405.2816610290781,0,1,830,11.282,3.087,0.59,0.201,0.69,0.147,0.163
125,1,913.6695892955917,1,0,392,10.864,3.031,0.52,-0.017,0.704,0.217,0.079
125,2,1282.8885726196236,1,0,446,10.839,3.011,0.522,-0.02,0.713,0.213,0.074
125,3,999.5021144569318,1,1,460,11.065,3.074,0.507,-0.093,0.741,0.189,0.07
125,4,1361.9347566393005,1,1,523,11.273,3.011,0.495,-0.138,0.75,0.184,0.067
126,1,857.6840783474314,0,0,719,11.87,2.924,0.513,-0.195,0.693,0.235,0.072
126,2,923.6974553276322,0,0,704,11.888,2.949,0.514,-0.203,0.699,0.233,0.068
126,3,927.6444941722038,0,1,687,11.928,3.015,0.511,-0.259,0.687,0.24,0.073
126,4,1181.3083433392299,0,1,657,11.922,3.055,0.521,-0.215,0.683,0.247,0.07
127,1,1217.659644806969,0,0,236,10.843,2.975,0.623,0.368,0.593,0.347,0.059
127,2,984.0512323456625,0,0,319,11.385,2.981,0.536,-0.114,0.611,0.339,0.05
127,3,1056.1373260842659,0,1,283,11.2,3.025,0.548,-0.086,0.604,0.343,0.053
127,4,1280.2814427727953,0,1,287,11.073,3.115,0.571,0.004,0.617,0.331,0.052
128,1,1079.5924393520077,1,0,1463,11.343,2.981,0.58,0.259,0.524,0.354,0.122
128,2,1348.3382813945627,1,0,1405,11.249,2.972,0.572,0.25,0.532,0.349,0.12
128,3,1493.9782297236939,1,1,1428,11.345,2.99,0.567,0.202,0.534,0.345,0.122
128,4,1661.4417887075163,1,1,1399,11.321,3.008,0.565,0.141,0.525,0.353,0.122
129,1,651.9830672954819,0,0,113,12.731,2.867,0.442,-0.524,0.735,0.168,0.097
129,2,752.8191897500232,0,0,109,12.859,2.798,0.431,-0.519,0.761,0.156,0.083
129,3,722.0026101878098,0,1,114,12.833,2.781,0.412,-0.469,0.772,0.149,0.079
129,4,711.6474691722239,0,1,125,12.622,2.752,0.432,-0.447,0.768,0.152,0.08
130,1,955.8584076647847,0,0,736,11.676,3.09,0.518,0.038,0.59,0.283,0.128
130,2,1011.4777698324318,0,0,701,11.716,3.117,0.516,0.011,0.596,0.272,0.131
130,3,1322.670920044257,0,1,700,11.666,3.113,0.509,-0.018,0.591,0.284,0.124
130,4,1327.2465163279164,0,1,679,11.718,3.11,0.52,-0.019,0.582,0.293,0.125
131,1,890.8372979424887,0,0,1057,11.782,2.974,0.515,-0.077,0.624,0.308,0.067
131,2,1062.5087663961324,0,0,1063,11.787,3.017,0.511,-0.08,0.633,0.301,0.066
131,3,1065.8444948204358,0,1,1042,11.77,2.999,0.505,-0.109,0.634,0.307,0.059
131,4,1285.6999700811382,0,1,1000,11.881,2.958,0.493,-0.151,0.623,0.312,0.065
132,1,739.8530093743568,0,0,244,11.316,2.877,0.545,0.088,0.836,0.074,0.09
132,2,966.0737972074028,0,0,230,11.223,2.787,0.548,0.101,0.839,0.07,0.091
132,3,1387.399429118038,0,1,231,11.249,2.823,0.532,0.016,0.84,0.061,0.1
132,4,1112.777063817467,0,1,242,11.225,2.789,0.488,-0.07,0.831,0.062,0.107
133,1,1035.2185050200887,1,0,2717,10.947,3.014,0.618,0.422,0.72,0.148,0.132
133,2,1280.6209366417202,1,0,2598,10.967,3.009,0.611,0.413,0.72,0.148,0.132
133,3,1417.2074482652565,1,1,2511,11.007,2.999,0.607,0.372,0.721,0.141,0.138
133,4,1535.6114429961215,1,1,2469,11.151,3.023,0.596,0.255,0.717,0.144,0.139
134,1,804.3920697179411,0,0,660,11.575,2.955,0.533,0.012,0.486,0.315,0.198
134,2,1122.5831567325345,0,0,622,11.685,2.931,0.518,-0.023,0.494,0.301,0.206
134,3,1132.329492097564,0,1,602,11.564,2.859,0.532,-0.024,0.497,0.299,0.204
134,4,1247.1226491983984,0,1,622,11.467,2.878,0.543,-0.05,0.502,0.304,0.195
135,1,670.8970246556979,0,0,201,11.48,2.935,0.562,0.118,0.781,0.119,0.1
135,2,767.1636821720826,0,0,202,11.512,2.946,0.559,0.075,0.787,0.104,0.109
135,3,1000.719729109848,0,1,199,11.258,2.995,0.558,0.149,0.779,0.106,0.116
135,4,1324.7784760919892,0,1,204,11.5,2.946,0.544,0.088,0.809,0.088,0.103
136,1,756.1932298122197,1,0,180,11.277,3.056,0.522,0.056,0.811,0.183,0.006
136,2,975.7101428904001,1,0,173,11.175,3.156,0.52,0.068,0.815,0.179,0.006
136,3,1118.965981032178,1,1,174,11.205,3.172,0.523,0.031,0.805,0.19,0.006
136,4,1306.8136406943772,1,1,162,11.196,3.142,0.519,0.036,0.79,0.198,0.012
137,1,838.9648381828969,0,0,186,11.434,3.129,0.575,0.278,0.677,0.204,0.118
137,2,1076.0050295186945,0,0,171,11.539,3.105,0.567,0.266,0.684,0.205,0.111
137,3,1241.859382650061,0,1,188,11.736,3.08,0.569,0.131,0.681,0.207,0.112
137,4,1065.4711736539793,0,1,195,11.733,3.005,0.554,-0.003,0.672,0.2,0.128
138,1,544.7097968321809,1,0,370,11.739,3.097,0.476,-0.16,0.743,0.214,0.043
138,2,944.5838971572001,1,0,414,11.705,3.06,0.461,-0.168,0.732,0.22,0.048
138,3,1049.4815823383888,1,1,428,11.691,2.981,0.446,-0.259,0.736,0.213,0.051
138,4,1071.6185905155346,1,1,471,11.76,2.96,0.446,-0.268,0.743,0.212,0.045
139,1,693.4706883623212,1,0,152,11.527,2.77,0.526,0.062,0.789,0.138,0.072
139,2,921.328085082164,1,0,181,11.719,2.845,0.519,-0.004,0.79,0.144,0.066
139,3,1183.2740953741843,1,1,188,11.657,2.745,0.521,0.013,0.793,0.149,0.059
139,4,1281.662795512903,1,1,185,11.473,2.8,0.503,-0.024,0.805,0.141,0.054
140,1,766.2091137736757,0,0,1098,10.854,3.018,0.631,0.451,0.724,0.141,0.135
140,2,1080.1629931188438,0,0,1080,10.886,3.014,0.631,0.418,0.731,0.138,0.131
140,3,1127.4036717036813,0,1,1265,11.184,3.025,0.61,0.223,0.704,0.152,0.144
140,4,1185.097231637532,0,1,1297,11.252,2.997,0.614,0.162,0.707,0.149,0.144
141,1,868.6895772819796,0,0,410,11.179,3.044,0.598,0.4,0.895,0.059,0.046
141,2,1221.33517251999,0,0,381,11.198,3.06,0.625,0.408,0.9,0.055,0.045
141,3,1489.0406937265439,0,1,383,11.262,3.154,0.608,0.328,0.898,0.063,0.039
141,4,1579.0339509129194,0,1,366,11.28,3.131,0.612,0.285,0.896,0.063,0.041
142,1,518.5871143662848,0,0,88,12.19,2.875,0.511,-0.172,0.898,0.08,0.023
142,2,556.4474933212462,0,0,94,12.354,2.957,0.511,-0.245,0.883,0.085,0.032
142,3,754.3082942108097,0,1,90,12.571,3,0.533,-0.322,0.867,0.1,0.033
142,4,842.0887011102433,0,1,91,12.481,2.945,0.549,-0.367,0.857,0.11,0.033
143,1,691.359820828823,0,0,550,11.874,2.951,0.491,-0.176,0.689,0.135,0.176
143,2,833.6606236072056,0,0,556,11.837,2.941,0.478,-0.222,0.691,0.122,0.187
143,3,1020.5719443966867,0,1,617,11.712,2.934,0.481,-0.185,0.694,0.113,0.193
143,4,1133.5174096105097,0,1,596,11.632,2.926,0.482,-0.179,0.7,0.107,0.193
144,1,962.8257722559613,1,0,494,11.379,2.945,0.53,0.162,0.696,0.162,0.142
144,2,1212.0522423889934,1,0,474,11.258,3.011,0.551,0.17,0.7,0.165,0.135
144,3,1300.818169800987,1,1,469,11.355,3.004,0.525,0.06,0.699,0.168,0.132
144,4,1443.4462041177753,1,1,459,11.484,3.009,0.503,0.019,0.669,0.19,0.142
145,1,801.0506955329561,1,0,165,10.726,2.964,0.533,0.23,0.812,0.121,0.067
145,2,1087.4715345777352,1,0,163,10.633,2.939,0.515,0.187,0.81,0.123,0.067
145,3,1208.984965924538,1,1,164,10.909,2.872,0.488,0.123,0.829,0.104,0.067
145,4,1988.9281015708914,1,1,173,10.969,2.757,0.48,0.062,0.832,0.116,0.052
146,1,1149.1751242011937,0,0,75,11.14,2.627,0.52,0.129,0.787,0.187,0.027
146,2,710.4614826271516,0,0,74,11.133,2.689,0.459,0.084,0.797,0.176,0.027
146,3,1052.7514054560559,0,1,78,11.279,2.487,0.474,0.037,0.808,0.167,0.026
146,4,1710.3459188747481,0,1,116,11.138,2.733,0.44,-0.103,0.759,0.216,0.026
147,1,852.0517177406637,0,0,1017,11.56,2.969,0.535,0.177,0.538,0.259,0.204
147,2,1018.9317158386554,0,0,1025,11.587,2.996,0.524,0.15,0.532,0.267,0.201
147,3,1300.5976503108718,0,1,993,11.47,3.031,0.53,0.132,0.534,0.271,0.195
147,4,1434.9538343117815,0,1,1002,11.473,3.033,0.535,0.113,0.53,0.273,0.197
148,1,662.0989552568279,1,0,644,11.475,3.07,0.506,-0.047,0.733,0.197,0.07
148,2,920.6803356004891,1,0,660,11.571,2.992,0.505,-0.032,0.741,0.186,0.073
